player_id,player,position,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_yac,rec_yac,rec_drops
HoltJ.01,J.P. Holtz,TE,CHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoylJa00,Jack Doyle,TE,IND,0,0,0,0,0,0,0,0,0.0,0,0,0,0,43,29,302,3,165,0,0,125,4
StolJa00,Jack Stoll,TE,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,4,22,0,20,0,0,20,0
HarrJa03,Jacob Harris,TE,LAR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
HollJa03,Jacob Hollister,TE,JAX,0,0,0,0,0,0,0,0,0.0,0,0,0,0,14,9,55,1,33,0,0,28,1
O'ShJa00,James O'Shaughnessy,TE,JAX,0,0,0,0,0,0,0,0,0.0,0,0,0,0,34,24,244,0,133,0,0,114,3
CookJa02,Jared Cook,TE,LAC,0,0,0,0,0,0,0,0,0.0,0,0,0,0,83,48,564,4,298,0,0,238,6
PinkJa02,Jared Pinkney,TE,DET,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpriJe00,Jeremy Sprinkle,TE,DAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,3,31,0,21,0,0,19,0
HorsJe00,Jesper Horsted,TE,CHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,2,21,2,21,0,0,0,1
JameJe00,Jesse James,TE,CHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,8,7,62,1,31,0,0,18,0
GrahJi00,Jimmy Graham,TE,CHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,23,14,167,3,124,0,0,55,1
FortJo01,Joe Fortson,TE,KAN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,5,47,2,45,0,0,9,0
BateJo00,John Bates,TE,WAS,0,0,0,0,0,0,0,0,0.0,0,0,0,0,25,20,249,1,186,0,0,139,0
MundJo00,Johnny Mundt,TE,LAR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,9,0,9,0,0,2,0
SmitJo01,Jonnu Smith,TE,NWE,0,0,0,0,0,0,0,0,0.0,9,40,0,9,45,28,294,1,193,0,24,232,4
AkinJo00,Jordan Akins,TE,HOU,0,0,0,0,0,0,0,0,0.0,1,3,0,3,33,24,214,0,122,2,3,81,3
FranJo03,Jordan Franks,TE,CLE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
OlivJo00,Josh Oliver,TE,BAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,15,9,66,0,50,0,0,25,0
DeguJo00,Josiah Deguara,TE,GNB,0,0,0,0,0,0,0,0,0.0,0,0,0,0,33,25,245,2,180,0,0,204,2
